comuna,avg_rtt
Cerrillos,214874.05670100002
Colina,108492.7056735
Conchalí,59238.8488964
El Bosque,128704.68151349999
Estación Central,140785.58556182502
Huechuraba,119451.75581330001
Independencia,84881.89423080001
La Cisterna,194927.333333
La Florida,97229.6864932
La Reina,85732.09186505
Las Condes,100913.5134088
Lo Barnechea,152030.1662755
Lo Prado,88973.3081464
Macul,88026.34918815
Maipú,105146.40616794
Pedro Aguirre Cerda,79947.40575475001
Pe¤aflor,108712.597222
Peñalolén,138601.55232890003
Providencia,97100.3370513
Pudahuel,73120.20990565
Puente Alto,108520.28669534999
Quilicura,131506.7318089333
Quinta Normal,90291.53846150001
Recoleta,185882.496746
Renca,151983.084795
San Bernardo,64796.936675975
San Miguel,127264.0271514
Santiago,147506.68716083333
Ñuñoa,48310.1144331
