comuna,name,count,avg_rtt,avg_jitter
Cerrillos,ENTEL CHILE S.A.,194,214874.056701,88085.3505155
Colina,Manquehuenet,423,103006.189125,42281.964539
Colina,ENTEL CHILE S.A.,9,113979.222222,75965.1111111
Conchalí,TELEFONICA CHILE S.A.,589,59238.8488964,29695.0662139
El Bosque,TELEFONICA CHILE S.A.,46,150347.76087,92632.4130435
El Bosque,VTR BANDA ANCHA S.A.,4821,107061.602157,62531.4725161
Estación Central,Telmex Servicios Empresariales S.A.,769,335563.357607,246863.572172
Estación Central,Pacifico Cable SPA.,54,96811.6481481,34613.537037
Estación Central,TELEFONICA CHILE S.A.,7014,52150.6727973,26042.2224123
Estación Central,VTR BANDA ANCHA S.A.,2019,78616.6636949,41731.7711738
Huechuraba,CLARO CHILE S.A.,8,182525.0,93153.25
Huechuraba,Besthost Spa,6,117344.666667,46381.0
Huechuraba,TELEFONICA CHILE S.A.,4155,74924.0611312,32941.1477738
Huechuraba,VTR BANDA ANCHA S.A.,44,103013.295455,45112.9545455
Independencia,TELEFONICA CHILE S.A.,104,84881.8942308,46196.4423077
La Cisterna,VTR BANDA ANCHA S.A.,6,194927.333333,74726.6666667
La Florida,TELEFONICA CHILE S.A.,7187,83716.1163211,55801.3148741
La Florida,VTR BANDA ANCHA S.A.,11325,79735.6739956,66146.2983664
La Florida,ENTEL CHILE S.A.,32259,134988.60783,98803.3572026
La Florida,SITELCO SPA,23,90478.3478261,38271.0434783
La Reina,TELEFONICA CHILE S.A.,498,48351.4618474,24376.8032129
La Reina,VTR BANDA ANCHA S.A.,2668,78222.3088456,37961.9407796
La Reina,WOM S.A.,400,119944.84,49302.75
La Reina,ENTEL CHILE S.A.,2586,96409.7567672,49462.608662
Las Condes,TELEFONICA CHILE S.A.,2945,77340.9310696,48497.8003396
Las Condes,Manquehuenet,12646,142874.1353,76521.9716116
Las Condes,ENTEL CHILE S.A.,7048,90656.0727866,42559.3266175
Las Condes,VTR BANDA ANCHA S.A.,6209,92782.914479,59082.1177323
Lo Barnechea,Manquehuenet,7251,100943.812026,53072.8533995
Lo Barnechea,VTR BANDA ANCHA S.A.,22704,203116.520525,132694.56849
Lo Prado,TELEFONICA CHILE S.A.,847,88973.3081464,58563.4002361
Macul,TELEFONICA CHILE S.A.,362,87762.3425414,42076.5055249
Macul,ENTEL CHILE S.A.,10103,88290.3558349,46090.0076215
Maipú,ENTEL CHILE S.A.,246,57734.097561,42213.3861789
Maipú,VTR BANDA ANCHA S.A.,121965,140575.463502,68203.1418686
Maipú,TELEFONICA CHILE S.A.,4930,155103.279919,92976.7237323
Maipú,ENTEL CHILE S.A.,1167,79463.7086547,47065.293916
Maipú,Pacifico Cable SPA.,266,92855.481203,79463.6503759
Ñuñoa,WOM S.A.,3089,44867.5539009,22589.9983814
Ñuñoa,VTR BANDA ANCHA S.A.,11336,64053.5380205,29806.6324982
Ñuñoa,TELEFONICA CHILE S.A.,1143,66635.5223097,39766.2073491
Ñuñoa,ENTEL CHILE S.A.,754,17683.8435013,11666.3222812
Peñaflor,VTR BANDA ANCHA S.A.,144,108712.597222,66510.7638889
Pedro Aguirre Cerda,VTR BANDA ANCHA S.A.,8053,85182.4382218,58100.7929964
Pedro Aguirre Cerda,Pacifico Cable SPA.,584,74712.3732877,49355.7363014
Peñalolén,TELEFONICA CHILE S.A.,12225,227614.096115,98230.1964826
Peñalolén,ENTEL CHILE S.A.,24348,49589.0085428,25885.4895269
Providencia,VTR BANDA ANCHA S.A.,75,148290.64,108654.973333
Providencia,Manquehuenet,16336,51048.8947111,21756.4344393
Providencia,ENTEL CHILE S.A.,3535,61785.5134371,33030.1714286
Providencia,TELEFONICA CHILE S.A.,1753,127276.300057,61829.2572732
Pudahuel,TELEFONICA CHILE S.A.,13,63213.0,20482.6923077
Pudahuel,VTR BANDA ANCHA S.A.,636,83027.4198113,37356.1446541
Puente Alto,Manquehuenet,8369,82725.8622297,52275.4239455
Puente Alto,VTR BANDA ANCHA S.A.,22812,134314.711161,60286.2443012
Quilicura,Telmex Servicios Empresariales S.A.,513,148160.124756,70872.8732943
Quilicura,VTR BANDA ANCHA S.A.,5763,162228.371508,88518.6118341
Quilicura,ENTEL CHILE S.A.,18515,84131.6991628,35993.6335944
Quinta Normal,TELEFONICA CHILE S.A.,936,90291.5384615,59630.6378205
Recoleta,TELEFONICA CHILE S.A.,461,185882.496746,132268.947939
Renca,VTR BANDA ANCHA S.A.,342,151983.084795,58656.6783626
San Bernardo,Manquehuenet,1995,75602.4065163,59922.712782
San Bernardo,Besthost Spa,111,41213.5315315,58812.6846847
San Bernardo,Telmex Servicios Empresariales S.A.,1536,68540.0735677,40056.0494792
San Bernardo,VTR BANDA ANCHA S.A.,2431,73831.7350884,48595.7013575
San Miguel,VTR BANDA ANCHA S.A.,480,164446.947917,63964.23125
San Miguel,TELEFONICA CHILE S.A.,2754,90897.1180102,48752.6949891
San Miguel,ENTEL CHILE S.A.,10884,126448.015527,55399.3744947
Santiago,VTR BANDA ANCHA S.A.,2184,86357.0238095,50115.845696
Santiago,Manquehuenet,52365,141684.371813,72939.6242337
Santiago,TELEFONICA CHILE S.A.,826,214478.66586,92321.9527845
